Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOOR-1A,NR (3/20),USA,Stara Space,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,334,385,-2.68,0,97,92.01,1,NAN,NAN,12/6/19,NAN,Stara Space,USA,Rocket Lab Launch Complex 1,Electron,2019-084D,44827,Commercial,USA,2019,12,6,359.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorSat-1,Norway,Norway,Norwegian Space Center,Government,Earth Science/Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,586,605,-0.2,0,97.6,96.5,30,NAN,40,7/14/17,NAN,Norwegian Space Center,Norway,Baikonur Cosmodrome,Soyuz 2.1a,2017-042B,42826,Government,Others,2017,7,14,595.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorSat-2,Norway,Norway,Norwegian Space Center,Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,586,605,2.07,0,97.6,96.5,16,NAN,NAN,7/14/17,NAN,Norwegian Space Center,Norway,Baikonur Cosmodrome,Soyuz 2.1a,2017-042D,42828,Government,Others,2017,7,14,595.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NovaSAR-1,United Kingdom,United Kingdom,UK Government/Surrey Satellite Technologies,Government/Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,586,600,-2.52,0,97.8,96,430,NAN,NAN,9/16/18,7,Surrey Satellite Technologies Ltd./Airbus Defense and Space,UK,Satish Dhawan Space Centre,PSLV,2018-071B,43619,Multi-purpose,Others,2018,9,16,593,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPP (National Polar-orbiting Operational Environmental Satellite System [NPOESS]),USA,USA,National Oceanographic and Atmospheric Administration (NOAA)/NASA,Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,827,827,2.73,0,98.7,101.4,2128,NAN,NAN,10/28/11,NAN,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2011-061A,37849,Government,USA,2011,10,28,827,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPSat-1 (Naval Postgraduate Satellite 1),NR (11/19),USA,USAF Space Test Office,Civil/Military,Technology Development,NAN,LEO,Sun-Synchronous,0,710,720,-2.33,0,24,99,85,NAN,NAN,6/25/19,NAN,Naval Postgraduate School,USA,Cape Canaveral,Falcon Heavy,2019-036B,44340,Multi-purpose,USA,2019,6,25,715,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NROL-151 (USA 294),NR (3/20),USA,National Reconnaissance Office (NRO),Military,Technology Development,NAN,LEO,Polar,0,586,588,-2.32,0,70,96.4,NAN,NAN,NAN,1/31/20,NAN,Unknown,USA,Rocket Lab Launch Complex 1,Electron,2020-007A,45110,Military,USA,2020,1,31,587,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NROL-76 (USA 276),USA,USA,National Reconnaissance Office (NRO),Military,Technology Development,NAN,LEO,Non-Polar Inclined,0,300,300,2.11,0,51,90.52,NAN,NAN,NAN,5/1/17,NAN,Ball Aerospace,USA,Cape Canaveral,Falcon 9,2017-022A,42689,Military,USA,2017,5,1,300,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nsight-1 (QB50 - AZ02),Belgium,South Africa,SCS Space,Civil,Earth Science,NAN,LEO,Non-Polar Inclined,0,399,406,2.01,0,51.6,92.6,3,NAN,NAN,5/26/17,NAN,SCS Space,South Africa,International Space Station,Nanorack Deployer,1998-067MF,42726,Civil,Others,2017,5,26,402.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSLSat-1,UK,Israel,NSLComm,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,515,543,0.19,0,97.5,95.2,8,NAN,NAN,7/5/19,NAN,NSLComm,Israel,Vostochny Cosmodrome,Soyuz 2.1b,2019-038E,44391,Commercial,Others,2019,7,5,529,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUDTSat (National University of Defense Satellite  QB50-CN06/BE06),Belgium,China,National University of Defense Technology,Military,Earth Science,NAN,LEO,Sun-Synchronous,0,497,515,2.78,0,97.45,94.7,5,NAN,NAN,6/23/17,NAN,National University of Defense Technology,China,Satish Dhawan Space Centre,PSLV,2017-036Y,42787,Military,China,2017,6,23,506,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??uSat-1 (Fresco),Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,481,499,1.68,0,97.5,94.41,35,NAN,NAN,5/29/16,NAN,Satellogic,Uruguay,Taiyuan Launch Center,Long March 4B,2016-033B,41557,Commercial,Others,2016,5,29,490,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??uSat-2 (Batata),Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,482,500,0.02,0,97.5,94.41,35,NAN,NAN,5/29/16,NAN,Satellogic,Uruguay,Taiyuan Launch Center,Long March 4B,2016-033C,41558,Commercial,Others,2016,5,29,491,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??uSat-3 (Milanesat),Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,535,545,-0.91,0,43.02,95.44,35,NAN,NAN,6/15/17,NAN,Satellogic,Uruguay,Jiuquan Satellite Launch Center,Long March 4B,2017-034C,42760,Commercial,Others,2017,6,15,540,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??uSat-4 (Ada),Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0,493,503,0.95,0,97.2,94.5,35,NAN,NAN,2/2/18,NAN,Satellogic,Argentina,Jiuquan Satellite Launch Center,Long March 2D,2018-015D,43195,Commercial,Others,2018,2,2,498,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??uSat-5 (Maryam),Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0,487,507,1.09,0,97.2,94.5,35,NAN,NAN,2/2/18,NAN,Satellogic,Argentina,Jiuquan Satellite Launch Center,Long March 2D,2018-015K,43204,Commercial,Others,2018,2,2,497,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??uSat-7 (Sophie),NR (3/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,NAN,LEO,Sun-Synchronous,0,476,490,0.44,0,97.3,94.2,45,NAN,NAN,1/15/20,NAN,Satellogic,Argentina,Taiyuan Launch Center,Long March 2D,2020-003B,45017,Commercial,Others,2020,1,15,483,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??uSat-8 (Marie),NR (3/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,NAN,LEO,Sun-Synchronous,0,475,492,2.95,0,97.3,94.2,45,NAN,NAN,1/15/20,NAN,Satellogic,Argentina,Taiyuan Launch Center,Long March 2D,2020-003C,45018,Commercial,Others,2020,1,15,483.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NuSTAR (Nuclear Spectroscopic Telescope Array),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,NAN,LEO,Equatorial,0,613,632,1.04,0,6,97.2,360,NAN,NAN,6/13/12,2,Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL,2012-031A,38358,Government,USA,2012,6,13,622.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O/OREOS (Organism/Organic Exposure to Orbital Stresses  USA 219),USA,USA,National Aeronautics and Space Administration (NASA)-Ames Research Center/Stanford University,Government/Civil,Space Science,NAN,LEO,Polar,0,624,654,-2.5,0,71.97,97.48,6,NAN,NAN,11/20/10,0.5,NASA/Ames Research Center,USA,Kodiak Launch Complex,Minotaur 4,2010-062C,37224,Multi-purpose,USA,2010,11,20,639,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCO 2????(Orbiting Carbon Observatory),USA,USA,National Aeronautics and Space Administration (NASA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,701,704,1.04,0,98.2,98.83,454,NAN,NAN,7/2/14,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Delta 2,2014-035A,40059,Government,USA,2014,7,2,702.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odin ,Sweden,Sweden,Swedish National Space Board,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,569,573,2.4,0,97.6,96.1,250,170,340,2/20/01,2,Swedish Space Corporation/Canadian Space Agency/National Technology Agency of Finland/Centre National d'Etudes Spatiales,Sweden/Canada/Finland/France,Svobodny Cosmodrome,Start 1,2001-007A,26702,Government,Others,2001,2,20,571,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 10,NR,Israel,Ministry of Defense,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,385,601,2.19,0.02,140.94,94.47,300,NAN,NAN,4/9/14,5,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex ,Shavit,2014-019A,39650,Military,Others,2014,4,9,493,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 11,NR,Israel,Ministry of Defense,Military,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,386,608,1.04,0.02,142,94.4,300,NAN,NAN,9/13/16,5,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex ,Shavit,2016-056A,41759,Military,Others,2016,9,13,497,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 5,NR,Israel,Ministry of Defense,Military,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,367,764,-1.88,0.03,143.4,95.97,300,NAN,NAN,5/28/02,4,Israel Aircraft Industries (IAI)  Missiles and Space Group,Israel,Palmachim Launch Complex ,Shavit,2002-025A,27434,Military,Others,2002,5,28,565.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 7,NR,Israel,Ministry of Defense,Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,340,576,-2.81,0.02,141.76,93.75,300,NAN,NAN,6/10/07,5,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex ,Shavit,2007-025A,31601,Military,Others,2007,6,10,458,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 9,NR,Israel,Ministry of Defense,Military,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,343,589,2.89,0.02,141.78,93.91,300,NAN,NAN,6/22/10,5,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex ,Shavit,2010-031A,36608,Military,Others,2010,6,22,466,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0006,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,995,1019,1.39,0,87.8,105.2,148,NAN,NAN,2/27/19,NAN,OneWeb Satellites/Airbus,UK,Guiana Space Center,Soyuz ST-B,2019-010A,44057,Commercial,Others,2019,2,27,1007,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0007,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,995,1020,-1.29,0,87.8,105.2,148,NAN,NAN,2/27/19,NAN,OneWeb Satellites/Airbus,UK,Guiana Space Center,Soyuz ST-B,2019-010D,44058,Commercial,Others,2019,2,27,1007.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0008,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,995,1021,2.07,0,87.8,105.2,148,NAN,NAN,2/27/19,NAN,OneWeb Satellites/Airbus,UK,Guiana Space Center,Soyuz ST-B,2019-010C,44059,Commercial,Others,2019,2,27,1008,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0010,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,995,1021,1.15,0,87.8,105.2,148,NAN,NAN,2/27/19,NAN,OneWeb Satellites/Airbus,UK,Guiana Space Center,Soyuz ST-B,2019-010B,44060,Commercial,Others,2019,2,27,1008,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0011,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,995,1017,1.54,0,87.8,105.2,148,NAN,NAN,2/27/19,NAN,OneWeb Satellites/Airbus,UK,Guiana Space Center,Soyuz ST-B,2019-010E,44061,Commercial,Others,2019,2,27,1006,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0012,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,995,1023,-0.46,0,87.8,105.2,148,NAN,NAN,2/27/19,NAN,OneWeb Satellites/Airbus,UK,Guiana Space Center,Soyuz ST-B,2019-010F,44062,Commercial,Others,2019,2,27,1009,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0013,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,439,460,-3.03,0,87.4,93.5,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008A,45131,Commercial,Others,2020,2,6,449.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0017,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,448,474,-0.6,0,87.4,93.8,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008B,45132,Commercial,Others,2020,2,6,461,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0018,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,455,490,-2.14,0,87.4,94,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020L,45434,Commercial,Others,2020,3,21,472.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0019,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,543,582,2.85,0,87.4,95.9,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AB,45449,Commercial,Others,2020,3,21,562.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0020,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,439,465,-2.29,0,87.4,93.6,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008C,45133,Commercial,Others,2020,2,6,452,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0021,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,439,460,0.47,0,87.4,93.5,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008D,45134,Commercial,Others,2020,2,6,449.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0022,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,445,467,-1.7,0,87.4,93.7,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008E,45135,Commercial,Others,2020,2,6,456,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0023,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,448,471,-0.54,0,87.4,93.7,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008F,45136,Commercial,Others,2020,2,6,459.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0024,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,446,467,-0.1,0,87.4,93.7,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008G,45137,Commercial,Others,2020,2,6,456.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0025,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,450,476,2.39,0,87.4,93.7,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008H,45138,Commercial,Others,2020,2,6,463,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0026,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,439,465,-2.93,0,87.4,93.6,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008J,45139,Commercial,Others,2020,2,6,452,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0027,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,448,484,2.58,0,87.4,93.8,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020J,45432,Commercial,Others,2020,3,21,466,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0028,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,439,465,-2.83,0,87.4,93.6,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008K,45140,Commercial,Others,2020,2,6,452,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0029,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,480,520,-1.97,0,87.4,94.6,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020X,45445,Commercial,Others,2020,3,21,500,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0031,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,444,480,2.3,0,87.4,93.8,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020H,45431,Commercial,Others,2020,3,21,462,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0032,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,443,467,0.83,0,87.4,93.6,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008L,45141,Commercial,Others,2020,2,6,455,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0033,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,453,476,-1.27,0,87.4,93.8,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008M,45142,Commercial,Others,2020,2,6,464.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0034,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,498,534,0.87,0,87.4,94.9,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AG,45454,Commercial,Others,2020,3,21,516,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0035,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,448,474,-2.47,0,87.4,93.8,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008N,45143,Commercial,Others,2020,2,6,461,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0036,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,442,466,0.18,0,87.4,93.6,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008P,45144,Commercial,Others,2020,2,6,454,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0037,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,466,500,-1.63,0,87.4,94.2,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020S,45440,Commercial,Others,2020,3,21,483,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0038,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,448,473,-2.59,0,87.4,93.8,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008Q,45145,Commercial,Others,2020,2,6,460.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0039,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,447,468,-0.19,0,87.4,93.7,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008R,45146,Commercial,Others,2020,2,6,457.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0040,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,452,475,-2.83,0,87.4,93.8,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008S,45147,Commercial,Others,2020,2,6,463.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0041,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,447,467,2.61,0,87.4,93.7,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008T,45148,Commercial,Others,2020,2,6,457,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0042,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,472,507,1.61,0,87.4,94.4,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020T,45441,Commercial,Others,2020,3,21,489.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0043,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,455,476,2.79,0,87.4,93.9,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008U,45149,Commercial,Others,2020,2,6,465.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0044,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,447,467,2.88,0,87.4,93.7,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008V,45150,Commercial,Others,2020,2,6,457,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0045,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,454,476,0.64,0,87.4,93.8,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008W,45151,Commercial,Others,2020,2,6,465,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0046,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,488,528,2.9,0,87.4,94.7,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020Z,45447,Commercial,Others,2020,3,21,508,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0047,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,448,468,-2.24,0,87.4,93.7,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008X,45152,Commercial,Others,2020,2,6,458,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0048,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,453,476,-2.38,0,87.4,93.8,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008Y,45153,Commercial,Others,2020,2,6,464.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0049,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,448,474,1.51,0,87.4,93.8,148,NAN,NAN,2/6/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008Z,45154,Commercial,Others,2020,2,6,461,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0050,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,NAN,LEO,Polar,0,476,512,1.64,0,87.4,94.4,148,NAN,NAN,3/21/20,NAN,OneWeb Satellites/Airbus,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AF,45453,Commercial,Others,2020,3,21,494,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
